Unnamed: 0,MODE,sv,sw,gc_dist,r_dist,temp_cntl,export,hazmat,wgt_factor,sctg,naics,orig_state,orig_state_full,states_code_o,orig_ma,dest_state,dest_state_full,states_code_d,dest_ma,sctg_n
5374,3,18044,14,580,682,0,0,0,517.1,37,339,24,Maryland,MD,12580,13,Georgia,GA,122,8
5375,1,14423,42761,490,600,0,0,0,33.6,37,331,39,Ohio,OH,198,5,Arkansas,AR,99999,8
5376,5,958855,561596,612,820,0,0,0,14.7,37,336,5,Arkansas,AR,99999,48,Texas,TX,99999,8
5377,3,4888,5,559,680,0,0,0,63.6,37,4238,37,North Carolina,NC,172,36,New York,NY,160,8
5378,4,11084,3,1959,2017,0,0,0,127.4,37,325,4,Arizona,AZ,38060,12,Florida,FL,370,8
5379,1,4926,794,895,1022,0,0,0,11.8,37,336,36,New York,NY,104,17,Illinois,IL,476,8
5380,3,468,6,48,54,0,0,0,1655.1,37,336,33,New Hampshire,NH,148,25,Massachusetts,MA,148,8
5381,3,4723,13,1124,1135,0,0,0,104.8,37,336,12,Florida,FL,370,48,Texas,TX,206,8
5382,3,11408,8,24,166,0,1,0,60.6,37,334,6,California,CA,348,6,California,CA,348,8
5383,2,146,2,5,6,0,0,0,2149.4,37,336,22,Louisiana,LA,99999,22,Louisiana,LA,99999,8
5384,3,7855,41,1931,2258,0,0,0,81.2,37,332,6,California,CA,348,13,Georgia,GA,99999,8
5385,4,34100,47,54,325,0,1,0,61.0,37,336,6,California,CA,348,6,California,CA,348,8
5386,4,14,1,1587,1716,0,1,0,875.6,37,4238,48,Texas,TX,41700,36,New York,NY,408,8
5387,1,558,14,1208,1561,0,0,0,138.6,37,332,20,Kansas,KS,556,12,Florida,FL,370,8
5388,4,33954,160,17,168,0,1,0,41.3,37,4238,34,New Jersey,NJ,408,34,New Jersey,NJ,408,8
5389,3,869,8,914,993,0,0,0,122.3,37,336,48,Texas,TX,41700,13,Georgia,GA,99999,8
